Time_Frame,Low,High,Last,Weight_Avg,ID_Full,ID1,ID3,Buy_Volume,Sell_Volume,Volume,Date
19:45 - 20:00,194.9,125.73,156.54,156.54,151.6,157.38,399.3,517.1,458.2,2025-02-02
20:00 - 20:15,368.01,125.31,172.27,172.27,165.46,172.14,511.5,675.7,593.6,2025-02-02
20:15 - 20:30,187.82,145.0,160.58,160.58,153.83,159.12,280.3,427.3,353.8,2025-02-02
20:30 - 20:45,193.7,154.6,154.39,154.39,154.12,154.78,328.2,444.6,386.4,2025-02-02
20:45 - 21:00,174.2,148.5,148.09,148.09,151.24,148.81,364.4,438.7,401.6,2025-02-02
21:00 - 21:15,218.58,140.0,154.25,154.25,141.18,151.6,326.0,404.2,365.1,2025-02-02
21:15 - 21:30,202.19,137.01,148.24,148.24,138.75,146.18,243.7,340.3,292.0,2025-02-02
21:30 - 21:45,196.6,140.2,141.84,141.84,145.66,140.35,327.7,353.4,340.6,2025-02-02
21:45 - 22:00,190.1,126.0,125.95,125.95,129.69,124.3,599.1,578.9,589.0,2025-02-02
22:00 - 22:15,185.64,140.3,150.36,150.36,146.32,148.21,437.2,435.5,436.4,2025-02-02
22:15 - 22:30,169.25,131.94,130.67,130.67,118.62,127.34,320.7,315.7,318.2,2025-02-02
22:30 - 22:45,185.6,163.0,143.98,143.98,136.6,139.08,366.5,446.4,406.5,2025-02-02
22:45 - 23:00,168.63,130.0,136.01,136.01,142.04,135.59,475.6,532.5,504.1,2025-02-02
23:00 - 23:15,167.89,129.91,143.09,143.09,149.43,144.83,342.0,318.3,330.2,2025-02-02
23:15 - 23:30,172.07,160.0,139.71,139.71,142.13,139.08,342.4,303.8,323.1,2025-02-02
23:30 - 23:45,213.87,150.0,134.28,134.28,130.29,132.01,350.1,351.5,350.8,2025-02-02
23:45 - 24:00,366.16,147.97,123.55,123.55,123.32,121.66,574.7,631.2,603.0,2025-02-02
