Time Frame,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),ID Full (€/MWh),ID1 (€/MWh),ID3 (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Date
21:15 - 21:30,128.60,757.70,163.23,167.82,21.1,37.2,29.2,,,,2025-02-10
21:30 - 21:45,128.10,173.57,157.36,154.87,15.1,18.2,16.7,,,,2025-02-10
21:45 - 22:00,118.25,159.26,146.80,142.34,25.8,16.2,21.0,,,,2025-02-10
22:00 - 22:15,155.73,179.76,163.10,162.21,28.5,45.9,37.2,,,,2025-02-10
22:15 - 22:30,146.24,175.89,157.00,157.06,19.6,46.2,32.9,,,,2025-02-10
22:30 - 22:45,-129.50,165.99,156.57,153.04,23.4,38.2,30.8,,,,2025-02-10
22:45 - 23:00,130.40,145.00,143.51,138.89,32.9,83.8,58.4,,,,2025-02-10
23:00 - 23:15,145.70,182.92,158.81,161.15,24.6,19.1,21.9,,,,2025-02-10
23:15 - 23:30,-128.20,159.28,150.27,144.98,20.9,17.1,19.0,,,,2025-02-10
23:30 - 23:45,103.20,170.41,142.41,141.57,24.1,44.5,34.3,,,,2025-02-10
23:45 - 24:00,111.10,203.87,132.98,128.59,48.4,31.8,40.1,,,,2025-02-10
